127.0.0.1 - - [10/Jun/2023:19:57:37 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:42 -0500] "GET /ProyectoLP1/listadoProductos.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:42 -0500] "GET /ProyectoLP1/csss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:42 -0500] "GET /ProyectoLP1/javascript/listadoProductos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:42 -0500] "GET /ProyectoLP1/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:42 -0500] "GET /ProyectoLP1/images/definitivo%20black.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:42 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:59 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6789
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:59 -0500] "GET /ProyectoLP1/javascript/inicio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:59 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:57:59 -0500] "GET /ProyectoLP1/csss/5.jpg HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:58:10 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:58:49 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:59:30 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:59:56 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:59:56 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13090
0:0:0:0:0:0:0:1 - - [10/Jun/2023:19:59:56 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:00:06 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:00:26 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:01:02 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:01:34 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:00 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:00 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13092
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:00 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:11 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:11 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:28 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:02:28 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:11 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:11 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13074
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:17 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:17 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13074
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:21 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:21 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:27 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:03:27 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13090
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:04:04 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:04:04 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13090
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:05:14 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:05:14 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13118
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:05:47 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:05:47 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13127
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:05:59 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:05:59 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13128
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:06 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:06 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:06 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:15 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:15 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:30 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:30 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13123
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:35 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:06:35 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13128
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:07:03 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:07:03 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13102
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:07:24 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
