127.0.0.1 - - [11/Oct/2023:16:39:03 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/images/definitivo%20black.png HTTP/1.1" 200 83493
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/cssssss/stylesssss.css HTTP/1.1" 200 13710
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/javascript/inicio.js HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 3477869
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 4461
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 2490372
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:04 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:11 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:11 -0500] "GET /ProyectoLP1/images/vecteezy_black-friday-delivery-man-on-scooter_4575774.mp4 HTTP/1.1" 206 365
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:11 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:16 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:16 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:26 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:26 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:30 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:30 -0500] "GET /ProyectoLP1/images/user.png HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:30 -0500] "GET /ProyectoLP1/cssssss/listadoProductosss.css HTTP/1.1" 200 7327
0:0:0:0:0:0:0:1 - - [11/Oct/2023:16:39:30 -0500] "GET /ProyectoLP1/javascript/listadoProductosssss.js HTTP/1.1" 200 1242
