127.0.0.1 - - [12/Nov/2023:13:48:19 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:25 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:25 -0500] "GET /ProyectoLP1/images/definitivo%20black.png HTTP/1.1" 200 83493
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:25 -0500] "GET /ProyectoLP1/javascript/inicio.js HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:25 -0500] "GET /ProyectoLP1/cssssss/stylesssss.css HTTP/1.1" 200 13714
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:25 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:26 -0500] "GET /ProyectoLP1/images/icono_quickshop.png HTTP/1.1" 200 119613
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:33 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:33 -0500] "GET /ProyectoLP1/images/user.png HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:33 -0500] "GET /ProyectoLP1/cssssss/listadoProductosss.css HTTP/1.1" 200 7327
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:33 -0500] "GET /ProyectoLP1/javascript/listadoProductosssss.js HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:33 -0500] "GET /ProyectoLP1/images/no-disponible.jpg HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:47 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:53 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:56 -0500] "GET /ProyectoLP1/carrito.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:56 -0500] "GET /ProyectoLP1/cssssss/carritossssss.css HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:48:56 -0500] "GET /ProyectoLP1/javascript/carritos.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:19 -0500] "POST /ProyectoLP1/ServletCarrito HTTP/1.1" 200 5063
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:19 -0500] "GET /ProyectoLP1/cssssss/pagoss.css HTTP/1.1" 200 13290
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:19 -0500] "GET /ProyectoLP1/javascript/pagossss.js HTTP/1.1" 200 5768
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:37 -0500] "POST /ProyectoLP1/ServletPago HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:37 -0500] "GET /ProyectoLP1/cssssss/mensajePedidos.css HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:37 -0500] "GET /ProyectoLP1/javascript/mensajePedido.js HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:39 -0500] "GET /ProyectoLP1/listadoPedidos.jsp HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:39 -0500] "GET /ProyectoLP1/cssssss/listadoPedidos.css HTTP/1.1" 200 5881
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:39 -0500] "GET /ProyectoLP1/javascript/listadoPedidos.js HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:44 -0500] "POST /ProyectoLP1/ServletPago HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:45 -0500] "POST /ProyectoLP1/ServletPago HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:45 -0500] "POST /ProyectoLP1/ServletPago HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:46 -0500] "GET /ProyectoLP1/listadoProductos.jsp HTTP/1.1" 200 59093
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:53 -0500] "GET /ProyectoLP1/actualizar.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:53 -0500] "GET /ProyectoLP1/cssssss/actualizarrr.css HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:53 -0500] "GET /ProyectoLP1/javascript/actualizar.js HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:57 -0500] "GET /ProyectoLP1/listadoPedidos.jsp HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:58 -0500] "GET /ProyectoLP1/ServletUsuario?tipo=Salir HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:58 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [12/Nov/2023:13:49:58 -0500] "GET /ProyectoLP1/cssssss/5.jpg HTTP/1.1" 404 720
